"Reference","Qty","Value","Datasheet","Descrição"
"B1","1","Buck XL7015","","Conversor buck"
"C1,C2,C3,C4","4","100nF","","Unpolarized capacitor"
"C7","1","22uF","","Polarized capacitor"
"D1,D2,D3","3","UP1007","http://www.vishay.com/docs/88503/1n4001.pdf","100V 1A General Purpose Rectifier Diode, DO-41"
"J1,J2","2","Screw_Terminal_01x02","","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"K1,K2","2","ICR 50.51.9.048","https://www.icr-reles.com.br/wp-content/themes/education-zone/pdf/S5051rev.pdf","rele icr 48v"
"Q1,Q2,Q3","3","75NF75","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","N-MOSFET transistor, drain/source/gate"
"R1,R2,R6,R7,R13,R16,R18,R19,R27","9","100K","","Resistor"
"R3,R8,R20","3","220K","","Resistor"
"R4,R11,R14,R22,R25","5","10K","","Resistor"
"R5","1","47K","","Resistor"
"R9","1","15K","","Resistor"
"R10","1","3K","","Resistor"
"R12,R15,R26","3","100","","Resistor"
"R17","1","47(5W)","","Resistor"
"R21","1","4,7K","","Resistor"
"R23","1","8,2K","","Resistor"
"R24","1","R10K","","Resistor"
"U1,U2","2","LM393","http://www.ti.com/lit/ds/symlink/lm393.pdf","Low-Power, Low-Offset Voltage, Dual Comparators, DIP-8/SOIC-8/TO-99-8"
